species,lat,lon
species,-35.326502,150.436803
species,-30.563739,153.01704
species,-23.442778,151.915
species,-40,156
species,-23.442778,151.915
species,-26.614718,153.114353
species,-33.516213,151.374134
species,-23.293277,151.703567
species,-23.293136,151.703837
species,-39.45,147.35
species,-33.961911,151.210461
species,-42.5483,147.8847
species,-42.548389,147.884611
species,-42.187092,148.068011
species,-34.834167,173.423056
species,-43.8,-176.633333
species,-41.388,174.056
species,-21.291063,149.301548
species,-42.548332,147.88472
species,-42.548403,147.884718
species,-37.450816,139.980408
species,-37.452497,139.981825
species,-37.453716,139.987865
species,-37.449439,139.978443
species,-37.438098,139.974878
species,-37.449366,139.978651
species,-37.453519,139.98802
species,-37.437996,139.975066
species,-31.42926,131.17169
species,-28.646331,153.631385
species,-33.983968,151.23351
species,-23.858333,152.368889
species,-24.109722,152.715833
species,-23.507222,152.092222
species,-39.702727,177.034167
species,-45.642029,170.661631
species,-23.507222,152.092222
species,-23.858333,152.368889
species,-24.109722,152.715833
species,-40.519438,148.106124
species,-30.409327,153.076127
species,-29.418713,153.359044
species,-41.725835,174.21223
species,-43.45,147.133333
species,-43.45,147.133333
species,-43.45,147.133333
species,-34.52153,136.27748
species,-30.5028,153.0314
species,-30.5028,153.0314
species,-30.5028,153.0314
species,-39.683747,147.898501
species,-33.841165,151.020673
species,-32.843009,151.869557
species,-34.025,151.195026
species,-25.784651,153.028805
species,-25.784651,153.028805
species,-30.357886,153.10743
species,-32.735784,152.056106
species,-33.525145,151.320356
species,-42.981948,147.684368
species,-42.981948,147.684368
species,-43.01528,147.917699
species,-42.098049,148.235402
species,-42.404165,147.982132
species,-38.68473,143.8399
species,-33.589298,151.301044
species,-43.828096,172.673276
species,-40.830743,172.84492
species,-32.973279,151.729624
species,-31.552663,159.076124
species,-31.538869,159.073932
species,-31.541773,159.076368
species,-31.540979,159.075704
species,-31.538323,159.080853
species,-31.559303,159.075866
species,-31.518726,159.065764
species,-31.565701,159.075502
species,-32.973279,151.729624
species,-46.576693,169.456075
species,-41.279035,173.240514
species,-45.750157,170.644455
species,-46.894513,168.129444
species,-46.558333,169.495278
species,-36.55,150.0667
species,-33.728603,151.300269
species,-35.3343,150.4741
species,-45.930319,170.392628
species,-35.015799,173.858128
species,-46.964952,167.677889
species,-33.069111,151.658152
species,-34.00517,151.12964
species,-34.00306,151.13896
species,-33.620758,151.319406
species,-29.430518,153.309525
species,-35.1756,150.5907
species,-35.634157,174.532923
species,-34.427006,172.862043
species,-34.752002,173.138095
species,-43.559103,172.752006
species,-45.733813,170.59681
species,-46.556452,169.503636
species,-46.884593,168.14538
species,-40.782374,176.26776
species,-45.763205,170.671747
species,-34.734405,173.11067
species,-43.606583,146.817083
species,-43.523056,146.370889
species,-41.245748,175.959579
species,-34.89032,173.279775
species,-41.340552,174.6696
species,-34.739253,173.116985
species,-33.084998,151.640933
species,-34.89032,173.279775
species,-34.76272,173.128654
species,-45.768241,170.697606
species,-38.679537,178.080078
species,-34.739589,173.116638
species,-45.727956,170.598707
species,-37.386026,175.939634
species,-46.710195,167.938256
species,-34.741789,173.116851
species,-32.435459,152.534639
species,-34.008103,151.197623
species,-35.76268,150.21804
species,-35.015173,150.817332
species,-46.383796,168.031785
species,-45.763043,170.670989
species,-32.008609,152.566586
species,-37.304005,176.252468
species,-41.345322,174.788728
species,-31.86903,152.698824
species,-45.733224,170.59787
species,-45.960274,170.299383
species,-45.896558,170.615401
species,-45.713855,170.599823
species,-40.509384,172.734968
species,-35.257205,174.131164
species,-36.502689,150.057538
species,-40.549722,173.002778
species,-46.773294,167.632134
species,-45.768188,170.697388
species,-45.749468,170.645215
species,-32.777941,152.080525
species,-39.095383,177.963824
species,-45.762897,170.670455
species,-36.836005,175.758163
species,-35.445556,138.308333
species,-40.732913,175.118222
species,-34.859359,173.32949
species,-41.23049,174.884571
species,-45.733049,170.598407
species,-43.517964,172.736063
species,-43.546917,172.749028
species,-43.561688,172.747822
species,-41.349012,174.77322
species,-45.878148,170.688229
species,-45.95002,170.330175
species,-45.781876,170.711596
species,-43.759514,-176.815482
species,-45.737159,170.616796
species,-43.426572,172.713339
species,-45.198076,170.891981
species,-46.541983,169.612213
species,-45.350782,170.827891
species,-46.703827,167.832932
species,-46.703819,167.83223
species,-46.703766,167.833771
species,-45.783428,170.717287
species,-41.270668,173.171589
species,-46.470279,168.248469
species,-36.485224,175.412408
species,-46.160155,166.629049
species,-43.336514,172.711044
