Year	Mean_OccupSuit	Std_error
654	0.000259748	8.72474e-05
655	0.000261445	8.88408e-05
656	0.000249561	8.62293e-05
657	0.000259748	8.97944e-05
658	0.000243337	8.34436e-05
659	0.000258616	8.95786e-05
660	0.000257484	8.98422e-05
661	0.000257484	8.74336e-05
662	0.000254089	8.66611e-05
663	0.000251825	8.40611e-05
664	0.000254655	8.48238e-05
665	0.000253523	8.48352e-05
666	0.000260879	8.84032e-05
667	0.000260314	8.75247e-05
668	0.000265407	9.01381e-05
669	0.000251825	8.65337e-05
670	0.000249561	8.56647e-05
671	0.000239941	8.21922e-05
672	0.000224662	7.81879e-05
673	0.00022636	7.93523e-05
674	0.00022353	7.95289e-05
675	0.000222964	7.79989e-05
676	0.000219569	7.37854e-05
677	0.000227491	7.65808e-05
678	0.000219569	7.34911e-05
679	0.000215607	7.47887e-05
680	0.000221832	7.65372e-05
681	0.000219569	7.69486e-05
682	0.000214476	7.62562e-05
683	0.000204855	7.24471e-05
684	0.000195235	6.95196e-05
685	0.000200894	7.02418e-05
686	0.000202592	7.01349e-05
687	0.000206553	7.24721e-05
688	0.000208817	7.34181e-05
689	0.000208817	7.08896e-05
690	0.00022353	7.65951e-05
691	0.000230321	7.87067e-05
692	0.000231453	7.88005e-05
693	0.000224662	7.65321e-05
694	0.000222398	7.67423e-05
695	0.000230321	7.91942e-05
696	0.000225228	7.92462e-05
697	0.000226925	8.05479e-05
698	0.000224096	7.99975e-05
699	0.000225228	7.9095e-05
700	0.000234848	8.27267e-05
701	0.000239375	8.54899e-05
702	0.000243902	8.87676e-05
703	0.00025522	9.28457e-05
704	0.0002456	8.87622e-05
705	0.000241073	8.70526e-05
706	0.0002456	8.87877e-05
707	0.000245034	8.93935e-05
708	0.00023315	8.59293e-05
709	0.000236546	8.57224e-05
710	0.000239375	8.83408e-05
711	0.000240507	8.73781e-05
712	0.000243337	8.94927e-05
713	0.000233716	8.54816e-05
714	0.000238809	8.90473e-05
715	0.000234848	8.61215e-05
716	0.000220701	8.2402e-05
717	0.000212212	8.0165e-05
718	0.000216739	8.03209e-05
719	0.000220701	8.01493e-05
720	0.000215042	8.00059e-05
721	0.000221832	8.32113e-05
722	0.000217305	8.12007e-05
723	0.000221266	8.27452e-05
724	0.000224662	8.33969e-05
725	0.00021108	7.77956e-05
726	0.000220701	7.98785e-05
727	0.000220135	8.02316e-05
728	0.000222398	7.97802e-05
729	0.000228057	8.26879e-05
730	0.000225794	8.16805e-05
731	0.000227491	8.17299e-05
732	0.000228623	8.25958e-05
733	0.000228623	8.41093e-05
734	0.000225228	8.14126e-05
735	0.000230321	8.42451e-05
736	0.00023315	8.48383e-05
737	0.000238243	8.66454e-05
738	0.000222398	8.28513e-05
739	0.000225228	8.36352e-05
740	0.000234282	8.60675e-05
741	0.000234848	8.63091e-05
742	0.000233716	8.67214e-05
743	0.000222398	8.3493e-05
744	0.000217305	8.07173e-05
745	0.000216173	8.02174e-05
746	0.000208817	7.85027e-05
747	0.000212212	7.85343e-05
748	0.000200328	7.33331e-05
749	0.000190708	7.1017e-05
750	0.000192406	7.29598e-05
751	0.000195235	7.34651e-05
752	0.000189576	7.13883e-05
753	0.000195801	7.54464e-05
754	0.000183917	7.00342e-05
755	0.000187878	7.04143e-05
756	0.000194669	7.26368e-05
757	0.00018901	7.1374e-05
758	0.00018901	7.08052e-05
759	0.000182785	6.80499e-05
760	0.000181654	6.83556e-05
761	0.00017656	6.68579e-05
762	0.000178824	6.95678e-05
763	0.000185049	6.92141e-05
764	0.000184483	6.87911e-05
765	0.000187878	7.14042e-05
766	0.000183351	7.15003e-05
767	0.000175995	6.63655e-05
768	0.000171467	6.34836e-05
769	0.000182785	6.64141e-05
770	0.000190708	7.03259e-05
771	0.000194103	7.08693e-05
772	0.000198631	7.38433e-05
773	0.000185049	7.13043e-05
774	0.000179956	6.89731e-05
775	0.000182219	6.89647e-05
776	0.000172033	6.37605e-05
777	0.000170336	6.34277e-05
778	0.000173165	6.6846e-05
779	0.000183917	7.11841e-05
780	0.000186747	7.34304e-05
781	0.000177126	6.9507e-05
782	0.000177692	6.88306e-05
783	0.000164111	6.4825e-05
784	0.000166374	6.64723e-05
785	0.000177692	7.08682e-05
786	0.000183351	7.35432e-05
787	0.000185049	7.38011e-05
788	0.000178258	7.1411e-05
789	0.000173731	7.18304e-05
790	0.000185049	7.69258e-05
791	0.000171467	7.07834e-05
792	0.000184483	7.81224e-05
793	0.000186181	7.98047e-05
794	0.000182219	7.79606e-05
795	0.000178824	7.72358e-05
796	0.000174863	7.50194e-05
797	0.000175995	7.66986e-05
798	0.000166374	7.21072e-05
799	0.000156754	6.73523e-05
800	0.000168072	7.36238e-05
801	0.00016977	7.68381e-05
802	0.000172033	7.59613e-05
803	0.00016977	7.52557e-05
804	0.000170336	7.46233e-05
805	0.000168638	7.27732e-05
806	0.000175995	7.44515e-05
807	0.000172599	7.35311e-05
808	0.000174297	7.58196e-05
809	0.000183351	8.05424e-05
810	0.000175995	7.61781e-05
811	0.000177126	7.7093e-05
812	0.000182219	8.07087e-05
813	0.000183351	8.10748e-05
814	0.000180522	8.20566e-05
815	0.000181088	8.21917e-05
816	0.000186747	8.32922e-05
817	0.000191274	8.35802e-05
818	0.000192972	8.29872e-05
819	0.000190142	8.10724e-05
820	0.000186181	8.26599e-05
821	0.000192406	8.63938e-05
822	0.000184483	8.0869e-05
823	0.000199762	8.97777e-05
824	0.000200894	9.22581e-05
825	0.000195801	8.9543e-05
826	0.000189576	8.63877e-05
827	0.000187313	8.66058e-05
828	0.00019184	8.68118e-05
829	0.000190142	8.74526e-05
830	0.000190708	8.93848e-05
831	0.000191274	9.07536e-05
832	0.000190708	9.1311e-05
833	0.00017656	8.53439e-05
834	0.000185615	9.10571e-05
835	0.000178824	8.75273e-05
