Year	Mean_OccupSuit	Std_error
843	0.0773585	0.0444758
844	0.0769542	0.0441064
845	0.0753369	0.0435947
846	0.0745283	0.0439178
847	0.0738544	0.0439103
848	0.0719677	0.0423919
849	0.0721024	0.0425796
850	0.0704852	0.0423175
851	0.0716981	0.0427529
852	0.0738544	0.0438818
853	0.0703504	0.0421434
854	0.0708895	0.0429678
855	0.0704852	0.0423833
856	0.069407	0.0414284
857	0.0712938	0.0425152
858	0.0726415	0.0438522
859	0.0738544	0.0445292
860	0.0773585	0.0461679
861	0.0764151	0.0453609
862	0.0733154	0.0434605
863	0.0734501	0.0432889
864	0.0754717	0.0449043
865	0.0743935	0.0432229
866	0.0777628	0.0454249
867	0.0772237	0.0445216
868	0.0783019	0.0441526
869	0.0773585	0.043853
870	0.0761456	0.0426894
871	0.0769542	0.0431363
872	0.075876	0.0422235
873	0.0742588	0.0417918
874	0.0735849	0.0413005
875	0.0737197	0.0399735
876	0.0710243	0.0399462
877	0.0702156	0.0399555
878	0.0721024	0.0402056
879	0.0721024	0.0409137
880	0.0737197	0.0422612
881	0.0745283	0.0431262
882	0.0726415	0.0419147
883	0.0704852	0.0415936
884	0.0677898	0.0401774
885	0.0692722	0.0411669
886	0.0714286	0.0426448
887	0.0733154	0.0449183
888	0.071159	0.04388
889	0.0715633	0.0456184
890	0.0704852	0.0449021
891	0.0698113	0.0451606
892	0.0683288	0.0443868
893	0.0702156	0.0453571
894	0.0703504	0.0448808
895	0.0700809	0.0449923
896	0.0707547	0.0440156
897	0.0677898	0.0421862
898	0.0699461	0.0430857
899	0.0706199	0.0441945
900	0.071159	0.0448228
901	0.071159	0.0447498
902	0.0716981	0.0457797
903	0.0716981	0.0454878
904	0.0707547	0.0440926
905	0.071159	0.0439865
906	0.0706199	0.0445674
907	0.0695418	0.0434132
908	0.0696765	0.0432566
909	0.0699461	0.0449633
910	0.069407	0.0438125
911	0.0700809	0.0434915
912	0.0684636	0.0424269
913	0.0661725	0.0418921
914	0.0654987	0.0401393
915	0.0656334	0.04069
916	0.0638814	0.039763
917	0.0656334	0.041131
918	0.0660377	0.0407059
919	0.066442	0.0409397
920	0.0673854	0.0419919
921	0.0669811	0.0425738
922	0.067655	0.0424365
923	0.0690027	0.0421602
924	0.0663073	0.0402526
925	0.0681941	0.0420151
926	0.0661725	0.0406317
927	0.0650943	0.0402988
928	0.0657682	0.0406134
929	0.0688679	0.0409483
930	0.0715633	0.0431849
931	0.0708895	0.0421733
932	0.0688679	0.0418448
933	0.0672507	0.0408852
934	0.0665768	0.0408895
935	0.0673854	0.0417021
936	0.0650943	0.0410869
937	0.0652291	0.0416392
938	0.0667116	0.0413245
939	0.0650943	0.0392464
940	0.0681941	0.0421264
941	0.0680593	0.04181
942	0.0685984	0.0416897
943	0.0684636	0.0408384
944	0.0654987	0.0388449
945	0.0650943	0.0380448
946	0.0667116	0.0383671
947	0.0685984	0.0387451
948	0.0663073	0.0376763
949	0.0668464	0.0374347
950	0.0654987	0.0372326
951	0.0644205	0.036019
952	0.0633423	0.0363765
953	0.0644205	0.0362279
954	0.0636119	0.0365165
955	0.0617251	0.0349682
956	0.059973	0.0345604
957	0.0607817	0.0344025
958	0.0586253	0.0342819
959	0.0578167	0.033627
960	0.0568733	0.0324775
961	0.0541779	0.0310687
962	0.052965	0.0300062
963	0.0521563	0.029759
964	0.0544474	0.0303839
965	0.0540431	0.0302309
966	0.0536388	0.0297236
967	0.053504	0.0305071
968	0.0530997	0.0304138
969	0.0506739	0.0288941
970	0.0497305	0.0284452
971	0.0493261	0.0284974
972	0.0481132	0.028609
973	0.0466307	0.0281045
974	0.0486523	0.0295572
975	0.0477089	0.0292254
976	0.0477089	0.0289164
977	0.0481132	0.0292453
978	0.0486523	0.029995
979	0.0481132	0.0303107
980	0.0466307	0.0295632
981	0.0469003	0.0293127
982	0.0501348	0.0315182
983	0.0491914	0.0304291
984	0.0474394	0.0293519
985	0.0478437	0.0294092
986	0.047035	0.028846
987	0.0473046	0.0291502
988	0.0478437	0.0291604
989	0.0471698	0.0291256
990	0.0467655	0.028768
991	0.0491914	0.0295461
992	0.0485175	0.0285023
993	0.0471698	0.0275964
994	0.0490566	0.0287218
995	0.0483827	0.0285351
996	0.0485175	0.0287378
997	0.0489218	0.0283867
998	0.0498652	0.0288198
999	0.0491914	0.0284925
1000	0.0521563	0.0299752
